# Observation File: centralHGUs.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: Central Flume Outflow [mol/h]
# Region: Central_Flume_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Incised1 Reach Outflow [mol/h]
# Region: Central_Incised1_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Typical Reach Outflow [mol/h]
# Region: Central_Typ_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Wet Reach Outflow [mol/h]
# Region: Central_Wet_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Incised1 Reach Depth to Water [m]
# Region: Central_Incised1_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Typical Reach Depth to Water [m]
# Region: Central_Typ_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Wet Reach Depth to Water [m] 
# Region: Central_Wet_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Incised1 Reach saturation
# Region: Central_Incised1_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Typical Reach Saturation
# Region: Central_Typ_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Wet Reach Saturation 
# Region: Central_Wet_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Incised1 Reach Exfiltration [mol/h]
# Region: Central_Incised1_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Typical Reach Exfiltration [mol/h]
# Region: Central_Typ_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Wet Reach Exfiltration [mol/h]
# Region: Central_Wet_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Incised1 Reach Water Content [mol]
# Region: Central_Incised1_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Typical Reach Water Content [mol]
# Region: Central_Typ_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: Central Wet Reach Water Content [mol]
# Region: Central_Wet_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: AIMS Watershed Outflow [mol/h]
# Region: AIMS_watershed_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# =============================================================================
"time [s]","Central Flume Outflow [mol/h]","Central Incised1 Reach Outflow [mol/h]","Central Typical Reach Outflow [mol/h]","Central Wet Reach Outflow [mol/h]","Central Incised1 Reach Depth to Water [m]","Central Typical Reach Depth to Water [m]","Central Wet Reach Depth to Water [m] ","Central Incised1 Reach saturation","Central Typical Reach Saturation","Central Wet Reach Saturation ","Central Incised1 Reach Exfiltration [mol/h]","Central Typical Reach Exfiltration [mol/h]","Central Wet Reach Exfiltration [mol/h]","Central Incised1 Reach Water Content [mol]","Central Typical Reach Water Content [mol]","Central Wet Reach Water Content [mol]","AIMS Watershed Outflow [mol/h]"
2.047680000000e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.046531566052e-01,1.119172883158e+00,7.996597825686e-01,9.957502137947e-01,9.918025668595e-01,9.967944063103e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.370503055203e+10,4.322017161488e+09,1.408561786023e+10,0.000000000000e+00
2.048040000000e+07,-8.306212089586e+06,-9.689426698039e+06,0.000000000000e+00,3.476464490019e+06,9.071710863767e-01,1.119778135349e+00,8.008958172576e-01,9.957463270918e-01,9.917994030633e-01,9.967913521311e-01,2.804873620479e+05,2.572417101220e+04,2.279808596256e+05,1.370496904996e+10,4.322002208113e+09,1.408556798448e+10,-1.954202045649e+07
2.048400000000e+07,-2.776697218254e+06,-3.534931349474e+06,0.000000000000e+00,4.809601275254e+05,9.088270619064e-01,1.119778135349e+00,8.015254182723e-01,9.957416987605e-01,9.917960634348e-01,9.967883304319e-01,2.936509263795e+05,2.658746568822e+04,2.263238184386e+05,1.370489671840e+10,4.321986484774e+09,1.408551923354e+10,-6.959306908908e+06
2.048760000000e+07,-1.061201505488e+06,-1.383449526856e+06,0.000000000000e+00,2.679098076639e+05,9.101813094724e-01,1.119778135349e+00,8.018822468904e-01,9.957370486995e-01,9.917927344284e-01,9.967854410053e-01,2.947450521772e+05,2.661120463321e+04,2.240575836008e+05,1.370482440033e+10,4.321970810961e+09,1.408547263848e+10,-2.680348584049e+06
2.049120000000e+07,-6.251453598801e+05,-7.722157928583e+05,0.000000000000e+00,2.511862112930e+05,9.113134825420e-01,1.120171526731e+00,8.018822468904e-01,9.957325811908e-01,9.917894517963e-01,9.967826551281e-01,2.924940910519e+05,2.644686111689e+04,2.224012139511e+05,1.370475497949e+10,4.321955354887e+09,1.408542769032e+10,-1.504867743029e+06
2.049480000000e+07,-5.175888543032e+05,-6.114245591144e+05,0.000000000000e+00,2.486785777231e+05,9.115446646074e-01,1.120171526731e+00,8.041697425464e-01,9.957282874677e-01,9.917862148361e-01,9.967799437105e-01,2.902645326575e+05,2.627014708363e+04,2.212326330092e+05,1.370468823877e+10,4.321940112740e+09,1.408538392395e+10,-1.189431586468e+06
2.049840000000e+07,-4.820821974008e+05,-5.561619647508e+05,0.000000000000e+00,2.471378976901e+05,9.119624404978e-01,1.120171526731e+00,8.042618525110e-01,9.957241837531e-01,9.917830212513e-01,9.967773066884e-01,2.878107089253e+05,2.610952784995e+04,2.200815221409e+05,1.370462440703e+10,4.321925071578e+09,1.408534133863e+10,-1.073540121073e+06
2.050200000000e+07,-4.718797303311e+05,-5.406997236567e+05,0.000000000000e+00,2.454072234576e+05,9.119624404978e-01,1.120571510523e+00,8.049223917466e-01,9.957201019963e-01,9.917796758029e-01,9.967746054783e-01,2.848357343233e+05,2.615575185471e+04,2.182853335355e+05,1.370456085209e+10,4.321909305465e+09,1.408529768080e+10,-1.040115911995e+06
2.050560000000e+07,-4.502161275765e+05,-5.161684423600e+05,0.000000000000e+00,2.250417791955e+05,9.131070745422e-01,1.120571510523e+00,8.069973068602e-01,9.957115337406e-01,9.917709805436e-01,9.967674738241e-01,2.599771711887e+05,2.260186080445e+04,1.919103674982e+05,1.370442652803e+10,4.321868257153e+09,1.408518178315e+10,-9.859133111607e+05
2.050920000000e+07,-3.694029205926e+05,-4.297639865925e+05,0.000000000000e+00,1.445994162512e+05,9.220070344579e-01,1.125562907172e+00,8.147637104874e-01,9.956833902089e-01,9.917391891044e-01,9.967408267162e-01,1.608041816562e+05,9.236845250848e+03,9.286136327951e+04,1.370398373007e+10,4.321718058196e+09,1.408474779779e+10,-7.981889323578e+05
2.051280000000e+07,-2.701713411347e+05,-3.214006077050e+05,0.000000000000e+00,7.056267105296e+04,9.285765166111e-01,1.136180134906e+00,8.269673501063e-01,9.956426564730e-01,9.916917716838e-01,9.967013330302e-01,9.088521075710e+04,2.533704125513e+03,2.621495232200e+04,1.370334278022e+10,4.321494167252e+09,1.408410537751e+10,-5.942054106913e+05
2.051640000000e+07,-1.638122329360e+05,-2.014651115720e+05,0.000000000000e+00,1.668221992461e+04,9.355549906584e-01,1.141700152069e+00,8.419039976342e-01,9.955870185268e-01,9.916252747000e-01,9.966450934420e-01,1.013654965424e+04,-2.097659895412e+03,-2.560333571433e+04,1.370246723057e+10,4.321180287710e+09,1.408319116269e+10,-3.765397536235e+05
2.052000000000e+07,-7.440923833791e+04,-9.496737269455e+04,0.000000000000e+00,3.067073119064e+03,9.459870898975e-01,1.152103360475e+00,8.663302059028e-01,9.955199489809e-01,9.915441412007e-01,9.965747127934e-01,-5.691139166753e+04,-7.667430778884e+03,-4.905105234912e+04,1.370141177533e+10,4.320797461386e+09,1.408204844469e+10,-1.716086658464e+05
2.052360000000e+07,-2.142845026665e+04,-2.569998803016e+04,0.000000000000e+00,1.617906891442e+03,9.548323774549e-01,1.158136296638e+00,8.875667767484e-01,9.954501921075e-01,9.914596434657e-01,9.965011569989e-01,-7.589904084109e+04,-1.103817773863e+04,-5.959626604384e+04,1.370031402766e+10,4.320398845573e+09,1.408085535187e+10,-5.259159859735e+04
2.052720000000e+07,-8.093929640800e+03,-4.199233879424e+03,0.000000000000e+00,1.620750784081e+03,9.685039884234e-01,1.159379603032e+00,8.948704630185e-01,9.953871288699e-01,9.913839469820e-01,9.964361365087e-01,-4.501590051117e+04,-1.131748016878e+04,-5.819013129858e+04,1.369932160217e+10,4.320041781509e+09,1.407980077777e+10,-1.081153312320e+04
2.053080000000e+07,-4.340940848181e+04,-5.395216143105e+04,0.000000000000e+00,1.714579673431e+04,9.595810537532e-01,1.156721006723e+00,8.849908130235e-01,9.953820922745e-01,9.913737131041e-01,9.964328395901e-01,1.100028400576e+05,4.111566840206e+03,3.696366761824e+04,1.369924085410e+10,4.319993517350e+09,1.407974582953e+10,-1.311202500278e+04
2.053440000000e+07,-3.263166289849e+04,-4.170401916578e+04,0.000000000000e+00,1.169944503587e+04,9.629845408940e-01,1.160524739116e+00,9.028769164158e-01,9.953456387262e-01,9.913275941003e-01,9.963957013268e-01,1.774474796573e+04,-3.971533273496e+03,-1.914312319980e+04,1.369866578963e+10,4.319775739182e+09,1.407914189659e+10,-8.241141533444e+03
2.053800000000e+07,-3.887672851582e+04,-4.994752854347e+04,0.000000000000e+00,1.629811854186e+04,9.638755433139e-01,1.159591470504e+00,9.021322725507e-01,9.953209774924e-01,9.912950626066e-01,9.963712790453e-01,5.441920692128e+04,-1.006019536696e+03,2.740560376626e+03,1.369827635858e+10,4.319622127219e+09,1.407874438700e+10,-1.525216093774e+04
2.054160000000e+07,-6.502318347763e+04,-8.123595456357e+04,0.000000000000e+00,3.263219649060e+04,9.620001053129e-01,1.158030293147e+00,8.989632052533e-01,9.953104454211e-01,9.912792215764e-01,9.963616721817e-01,1.097953596242e+05,3.808989225807e+03,4.709413152672e+04,1.369810910533e+10,4.319547229228e+09,1.407858712909e+10,-4.818820857974e+04
2.054520000000e+07,-1.126435055437e+05,-1.357121622943e+05,0.000000000000e+00,5.406517295212e+04,9.584590498030e-01,1.154444393614e+00,8.935451181557e-01,9.953131066754e-01,9.912793851505e-01,9.963659954152e-01,1.722515653367e+05,9.386121857917e+03,9.784628930930e+04,1.369814944305e+10,4.319547820725e+09,1.407865575114e+10,-1.349400458067e+05
2.054880000000e+07,-1.476443930051e+05,-1.756318168748e+05,0.000000000000e+00,6.319067959839e+04,9.565502709249e-01,1.150836953276e+00,8.878188766277e-01,9.953169194609e-01,9.912816574159e-01,9.963714190700e-01,1.876860075620e+05,8.916599209302e+03,1.131996032662e+05,1.369820801247e+10,4.319558333280e+09,1.407874234941e+10,-2.322929061766e+05
2.055240000000e+07,-1.840075364834e+05,-2.182599218721e+05,0.000000000000e+00,6.818541714619e+04,9.554552649692e-01,1.149021776786e+00,8.860150849803e-01,9.953201950768e-01,9.912835567367e-01,9.963763278631e-01,1.957205801175e+05,1.012544654560e+04,1.206775013400e+05,1.369825834918e+10,4.319567083304e+09,1.407882072034e+10,-3.827483208258e+05
2.055600000000e+07,-2.093431911465e+05,-2.483897256485e+05,0.000000000000e+00,9.662591503285e+04,9.568503470921e-01,1.147130278843e+00,8.821042983106e-01,9.953230729016e-01,9.912851594017e-01,9.963815838942e-01,2.014412148695e+05,1.097584156787e+04,1.143608673971e+05,1.369830264958e+10,4.319574433195e+09,1.407890474171e+10,-4.906511645767e+05
2.055960000000e+07,-2.424016039311e+05,-2.822898792080e+05,0.000000000000e+00,1.327388250194e+05,9.562478875259e-01,1.146525026652e+00,8.794296993289e-01,9.953255908158e-01,9.912864838939e-01,9.963857061495e-01,2.064518080982e+05,1.171101589993e+04,1.316903054071e+05,1.369834149677e+10,4.319580496674e+09,1.407897068370e+10,-5.664075756576e+05
2.056320000000e+07,-2.687217560644e+05,-3.095507314902e+05,0.000000000000e+00,1.422802318253e+05,9.553896435067e-01,1.145801318402e+00,8.747499341724e-01,9.953278761166e-01,9.912876117215e-01,9.963894091322e-01,2.096270238910e+05,1.226071464931e+04,1.376257390285e+05,1.369837681381e+10,4.319585655670e+09,1.407903001365e+10,-6.077519222166e+05
2.056680000000e+07,-2.858179352900e+05,-3.282014344996e+05,0.000000000000e+00,1.476704042510e+05,9.544489080337e-01,1.144083108223e+00,8.725882565280e-01,9.953300037230e-01,9.912889038429e-01,9.963928236535e-01,2.117608058116e+05,1.113818289631e+04,1.417028453602e+05,1.369840973526e+10,4.319591614849e+09,1.407908479390e+10,-6.334776268638e+05
2.057040000000e+07,-3.025790640523e+05,-3.475814530173e+05,0.000000000000e+00,1.539971808305e+05,9.542269691693e-01,1.141693934383e+00,8.707691837385e-01,9.953319442677e-01,9.912899810177e-01,9.963959109707e-01,2.142513380393e+05,1.187688703746e+04,1.462017098334e+05,1.369843981099e+10,4.319596544843e+09,1.407913438124e+10,-6.608673936981e+05
2.057400000000e+07,-3.156941814821e+05,-3.629608474539e+05,0.000000000000e+00,1.601846297096e+05,9.539669986814e-01,1.141693934383e+00,8.700785675091e-01,9.953336879277e-01,9.912908617037e-01,9.963986618843e-01,2.168014164422e+05,1.251514652199e+04,1.507131491051e+05,1.369846688512e+10,4.319600559945e+09,1.407917860641e+10,-6.847327531381e+05
2.057760000000e+07,-3.232455076370e+05,-3.716054528113e+05,0.000000000000e+00,1.641959133764e+05,9.517302968324e-01,1.141693934383e+00,8.679870519855e-01,9.953352954955e-01,9.912915958446e-01,9.964011856353e-01,2.185225639830e+05,1.300594688872e+04,1.536915777466e+05,1.369849188080e+10,4.319603897858e+09,1.407921920669e+10,-6.986080239384e+05
2.058120000000e+07,-3.293920729451e+05,-3.785216408303e+05,0.000000000000e+00,1.676508600448e+05,9.504454766317e-01,1.140505290346e+00,8.670072434217e-01,9.953367812171e-01,9.912921941494e-01,9.964035114093e-01,2.200319122560e+05,1.346706838319e+04,1.562369193815e+05,1.369851501279e+10,4.319606608276e+09,1.407925664293e+10,-7.097091343002e+05
2.058480000000e+07,-3.345482613107e+05,-3.842602881823e+05,0.000000000000e+00,1.706109007950e+05,9.504454766317e-01,1.140505290346e+00,8.649566307819e-01,9.953381572783e-01,9.912926798748e-01,9.964056657241e-01,2.213628546941e+05,1.384263572562e+04,1.583920446970e+05,1.369853646440e+10,4.319608796878e+09,1.407929133349e+10,-7.189006897897e+05
2.058840000000e+07,-3.375858585806e+05,-3.876562961738e+05,0.000000000000e+00,1.717372635755e+05,9.504454766317e-01,1.140505290346e+00,8.622544548856e-01,9.953390732747e-01,9.912926541283e-01,9.964073059636e-01,2.202682104098e+05,1.395508361503e+04,1.582612414974e+05,1.369855070747e+10,4.319608578847e+09,1.407931768482e+10,-7.242388476631e+05
2.059200000000e+07,-3.348743044640e+05,-3.848940189330e+05,0.000000000000e+00,1.672297034061e+05,9.499661532668e-01,1.140505290346e+00,8.622544548856e-01,9.953381052946e-01,9.912904177653e-01,9.964070260961e-01,2.127808604126e+05,1.327016910721e+04,1.513456279070e+05,1.369853532255e+10,4.319597927684e+09,1.407931281589e+10,-7.184290755578e+05
2.059560000000e+07,-3.240284163227e+05,-3.733390480763e+05,0.000000000000e+00,1.562675857527e+05,9.505491169644e-01,1.141111418140e+00,8.624484643953e-01,9.953341475563e-01,9.912846318955e-01,9.964037326387e-01,1.991931714020e+05,1.189004119446e+04,1.381607056503e+05,1.369847289889e+10,4.319570527868e+09,1.407925895157e+10,-6.970647863305e+05
2.059920000000e+07,-2.274212779621e+05,-2.690188829214e+05,0.000000000000e+00,5.459741683721e+04,9.579033238971e-01,1.145816877018e+00,8.748335202012e-01,9.952965292438e-01,9.912385450579e-01,9.963663577515e-01,5.060418109331e+04,-1.382138910020e+03,-3.097028863226e+03,1.369788063844e+10,4.319352808380e+09,1.407865087400e+10,-5.061688164100e+05
2.060280000000e+07,-1.216864583646e+05,-1.486277168847e+05,0.000000000000e+00,1.001167179622e+04,9.637790620256e-01,1.163174393083e+00,8.931620889129e-01,9.952407331269e-01,9.911695977920e-01,9.963078305487e-01,-4.003953775111e+04,-6.160574050465e+03,-4.591099183583e+04,1.369700263405e+10,4.319027381317e+09,1.407770011096e+10,-2.796493949771e+05
2.060640000000e+07,-3.181678015936e+04,-3.914812373090e+04,0.000000000000e+00,1.350212674469e+03,9.781652734856e-01,1.187813009716e+00,9.181157909919e-01,9.951678039895e-01,9.910794232484e-01,9.962289392816e-01,-1.185679199772e+05,-1.175388185509e+04,-7.128524798750e+04,1.369585526695e+10,4.318601952407e+09,1.407642077293e+10,-9.484197178937e+04
2.061000000000e+07,-3.780713028996e+04,-4.368431243330e+04,0.000000000000e+00,6.055013093600e+03,9.823105577068e-01,1.189117768088e+00,9.211806811764e-01,9.951291331079e-01,9.910290896290e-01,9.961885674942e-01,-3.960766891433e+03,-1.544633393351e+03,-2.584145965447e+04,1.369524616287e+10,4.318364553814e+09,1.407576552528e+10,-5.849630950945e+04
2.061360000000e+07,-8.636633696826e+03,-4.744911804515e+03,0.000000000000e+00,1.967059907714e+03,9.929912073402e-01,1.194402672411e+00,9.338680138079e-01,9.950771735675e-01,9.909641467878e-01,9.961345292805e-01,-3.727639562336e+04,-5.831738571964e+03,-5.294393304337e+04,1.369442851726e+10,4.318058302595e+09,1.407488925483e+10,-1.135490809348e+04
2.061720000000e+07,-4.377430384172e+03,-2.937076534340e+03,0.000000000000e+00,1.746281429504e+03,1.003075166975e+00,1.203147930836e+00,9.510273584840e-01,9.950243060330e-01,9.908983407938e-01,9.960796610955e-01,-4.118263429211e+04,-7.524295986122e+03,-5.852322746793e+04,1.369359677905e+10,4.317747956287e+09,1.407399955715e+10,-4.807530731902e+02
2.062080000000e+07,-7.131139781153e+03,-3.656478171838e+03,0.000000000000e+00,2.517870752615e+03,1.004338942706e+00,1.210693161810e+00,9.534849325524e-01,9.949862876879e-01,9.908489922578e-01,9.960403989629e-01,-1.398278278288e+04,-6.177232942145e+03,-4.410886010425e+04,1.369299803897e+10,4.317515192093e+09,1.407336226049e+10,0.000000000000e+00
2.062440000000e+07,-1.464478397619e+04,-6.758381958692e+03,0.000000000000e+00,1.190449582949e+04,1.002125807633e+00,1.210693161810e+00,9.549772176013e-01,9.949680521716e-01,9.908211264653e-01,9.960214133436e-01,2.097125112600e+04,-2.015930303810e+03,-1.903030251835e+04,1.369270957945e+10,4.317383642378e+09,1.407305297888e+10,0.000000000000e+00
2.062800000000e+07,-3.342577935662e+04,-4.036221067094e+04,0.000000000000e+00,2.000676678944e+04,9.993565541916e-01,1.212007856127e+00,9.503048701566e-01,9.949631660142e-01,9.908096209562e-01,9.960172266624e-01,8.134849354423e+04,2.264030122451e+03,1.817979535628e+04,1.369263093325e+10,4.317329182244e+09,1.407298326823e+10,-2.627905161238e+00
2.063160000000e+07,-4.869424831300e+04,-6.624255012015e+04,0.000000000000e+00,3.233729400812e+04,9.936740809840e-01,1.209109040505e+00,9.446527286689e-01,9.949676834760e-01,9.908090226903e-01,9.960227109485e-01,1.166984184237e+05,5.806097166195e+03,4.853843930603e+04,1.369270005609e+10,4.317326139680e+09,1.407307042215e+10,-3.498592153516e+03
2.063520000000e+07,-6.860992728203e+04,-9.393067253957e+04,0.000000000000e+00,4.931630345613e+04,9.905931905269e-01,1.204581386719e+00,9.419823415563e-01,9.949762089397e-01,9.908124160563e-01,9.960310612574e-01,1.264490677790e+05,8.332139749463e+03,7.577222202343e+04,1.369283209893e+10,4.317341896421e+09,1.407320400822e+10,-5.691604001024e+04
2.063880000000e+07,-1.111205134463e+05,-1.317334310018e+05,0.000000000000e+00,5.479361206425e+04,9.886296942294e-01,1.203516409624e+00,9.370390715519e-01,9.949832490526e-01,9.908154855840e-01,9.960386852182e-01,1.488806560958e+05,9.428506407338e+03,8.629086256958e+04,1.369294124049e+10,4.317356141560e+09,1.407332610219e+10,-1.468060741433e+05
2.064240000000e+07,-1.524368191308e+05,-1.787638441170e+05,0.000000000000e+00,5.864866753896e+04,9.868158168507e-01,1.201337784521e+00,9.346609471503e-01,9.949896951982e-01,9.908182377099e-01,9.960457939301e-01,1.571997522074e+05,1.036491078899e+04,9.349555651654e+04,1.369304133531e+10,4.317368918180e+09,1.407344003686e+10,-2.334450960757e+05
2.064600000000e+07,-1.674128638615e+05,-1.982324845668e+05,0.000000000000e+00,6.035373392824e+04,9.863953249818e-01,1.200926172905e+00,9.314081114944e-01,9.949958363336e-01,9.908208238946e-01,9.960525659735e-01,1.613864444550e+05,1.082353474698e+04,9.829717876149e+04,1.369313678734e+10,4.317380930276e+09,1.407354863791e+10,-3.006895291750e+05
2.064960000000e+07,-1.814523003071e+05,-2.167542457786e+05,0.000000000000e+00,6.261048945489e+04,9.848771482443e-01,1.200926172905e+00,9.302275313399e-01,9.950015583498e-01,9.908231865235e-01,9.960589047465e-01,1.670088824047e+05,1.142817270442e+04,1.042478259604e+05,1.369322585602e+10,4.317391912672e+09,1.407365038854e+10,-4.077731333563e+05
2.065320000000e+07,-1.871040915926e+05,-2.240734500651e+05,0.000000000000e+00,6.377255445003e+04,9.843573198251e-01,1.197913153857e+00,9.282540373302e-01,9.950070574892e-01,9.908254444216e-01,9.960651410494e-01,1.699705237086e+05,1.168160944585e+04,1.052736984336e+05,1.369331152595e+10,4.317402417811e+09,1.407375055432e+10,-4.499846741036e+05
2.065680000000e+07,-1.930302709097e+05,-2.314016311710e+05,0.000000000000e+00,6.986737974153e+04,9.838207028217e-01,1.197091258324e+00,9.250285349046e-01,9.950122933516e-01,9.908279899725e-01,9.960716767929e-01,1.734003647506e+05,9.981014799624e+03,9.957564287739e+04,1.369339317890e+10,4.317414302333e+09,1.407385562888e+10,-4.847461520723e+05
2.066040000000e+07,-2.062868957387e+05,-2.439119434687e+05,0.000000000000e+00,1.023254903502e+05,9.836587984585e-01,1.195323691490e+00,9.224217527974e-01,9.950172573758e-01,9.908304307632e-01,9.960775651122e-01,1.768177610251e+05,1.015401810717e+04,1.089448683926e+05,1.369347068285e+10,4.317425688966e+09,1.407395030480e+10,-5.133266788219e+05
2.066400000000e+07,-2.226919141974e+05,-2.594110667781e+05,0.000000000000e+00,1.145726935928e+05,9.820907108978e-01,1.195323691490e+00,9.201179837176e-01,9.950220303935e-01,9.908327530602e-01,9.960831124571e-01,1.791535083829e+05,1.048015947038e+04,1.135730443715e+05,1.369354526409e+10,4.317436528139e+09,1.407403955999e+10,-5.333980766075e+05
2.066760000000e+07,-2.386379681449e+05,-2.757354668602e+05,0.000000000000e+00,1.205638991728e+05,9.805216381258e-01,1.193723895222e+00,9.177258596262e-01,9.950266259320e-01,9.908349692713e-01,9.960883604882e-01,1.812859622062e+05,1.076550350475e+04,1.175579215435e+05,1.369361712188e+10,4.317446871054e+09,1.407412406505e+10,-5.531299689156e+05
