# Observation File: northHGUs.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: North Typical1 Reach Outflow [mol/h]
# Region: North_Typ1_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical2 Reach Outflow [mol/h]
# Region: North_Typ2_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Wet Reach Outflow [mol/h]
# Region: North_Wet_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical1 Reach Depth to Water [m]
# Region: North_Typ1_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical2 Reach Depth to Water [m]
# Region: North_Typ2_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Wet Reach Depth to Water [m] 
# Region: North_Wet_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical1 Reach Saturation
# Region: North_Typ1_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical2 Reach Saturation
# Region: North_Typ2_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Wet Reach Saturation
# Region: North_Wet_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical1 Reach Exfiltration [mol/h]
# Region: North_Typ1_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical2 Reach Exfiltration [mol/h]
# Region: North_Typ2_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Wet Reach Exfiltration [mol/h]
# Region: North_Wet_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical1 Reach Water Content [mol]
# Region: North_Typ1_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Typical2 Reach Water Content [mol]
# Region: North_Typ2_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: North Wet Reach Water Content [mol]
# Region: North_Wet_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# =============================================================================
"time [s]","North Typical1 Reach Outflow [mol/h]","North Typical2 Reach Outflow [mol/h]","North Wet Reach Outflow [mol/h]","North Typical1 Reach Depth to Water [m]","North Typical2 Reach Depth to Water [m]","North Wet Reach Depth to Water [m] ","North Typical1 Reach Saturation","North Typical2 Reach Saturation","North Wet Reach Saturation","North Typical1 Reach Exfiltration [mol/h]","North Typical2 Reach Exfiltration [mol/h]","North Wet Reach Exfiltration [mol/h]","North Typical1 Reach Water Content [mol]","North Typical2 Reach Water Content [mol]","North Wet Reach Water Content [mol]"
2.047680000000e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.008321142195e+00,9.545031570818e-01,8.512791924773e-01,9.957607894677e-01,9.960668468696e-01,9.967686587425e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.620480091134e+09,2.835887310872e+09,6.265479430418e+09
2.048040000000e+07,2.697241154694e+06,-1.560055746690e+05,-1.104930541643e+06,1.009580212157e+00,9.578150647962e-01,8.518245190779e-01,9.957571798837e-01,9.960639064144e-01,9.967659936368e-01,4.390826417857e+04,1.023200830012e+04,7.117865505917e+04,6.620452070182e+09,2.835876805681e+09,6.265459958366e+09
2.048400000000e+07,3.313487509471e+05,-1.183780619886e+04,-1.011593035007e+05,1.011423451250e+00,9.578150647962e-01,8.518245190779e-01,9.957530988534e-01,9.960608863975e-01,9.967633864296e-01,4.823182180376e+04,1.052981378207e+04,6.989457277486e+04,6.620420864369e+09,2.835866088371e+09,6.265441100292e+09
2.048760000000e+07,1.405968874330e+05,-1.022158579218e+04,-8.023497123760e+04,1.011627399040e+00,9.578150647962e-01,8.518245190779e-01,9.957492319129e-01,9.960579926179e-01,9.967608810753e-01,4.681513991589e+04,1.014191518859e+04,6.919241020907e+04,6.620391285991e+09,2.835855815447e+09,6.265422972096e+09
2.049120000000e+07,1.259023890082e+05,-9.902198819663e+03,-7.875619325037e+04,1.011627399040e+00,9.586394906687e-01,8.518245190779e-01,9.957455475509e-01,9.960551936899e-01,9.967584644913e-01,4.562892346683e+04,9.854984963625e+03,6.861359009799e+04,6.620363063621e+09,2.835845874895e+09,6.265405471686e+09
2.049480000000e+07,1.235071152108e+05,-9.681987042249e+03,-7.805797704386e+04,1.011627399040e+00,9.586394906687e-01,8.518245190779e-01,9.957419940800e-01,9.960524653916e-01,9.967561170456e-01,4.478466294045e+04,9.641464488179e+03,6.818776822106e+04,6.620335812639e+09,2.835836181732e+09,6.265388458736e+09
2.049840000000e+07,1.218097403205e+05,-9.456315724338e+03,-7.736883471365e+04,1.011627399040e+00,9.586394906687e-01,8.525153552214e-01,9.957385715326e-01,9.960498101775e-01,9.967538431523e-01,4.394474153047e+04,9.420504823330e+03,6.775257001417e+04,6.620309535231e+09,2.835826744595e+09,6.265371964376e+09
2.050200000000e+07,1.201682525321e+05,-9.153525194526e+03,-7.646727661802e+04,1.011627399040e+00,9.586394906687e-01,8.525153552214e-01,9.957351159567e-01,9.960470967127e-01,9.967515215107e-01,4.303158831760e+04,9.089978956649e+03,6.703730097168e+04,6.620282974752e+09,2.835817095020e+09,6.265355108666e+09
2.050560000000e+07,1.048623144962e+05,-5.728119908237e+03,-6.382394185699e+04,1.012683423938e+00,9.586394906687e-01,8.531305459231e-01,9.957268812050e-01,9.960395625506e-01,9.967450269500e-01,3.362199821037e+04,5.076395695784e+03,5.413296215449e+04,6.620219414928e+09,2.835790195838e+09,6.265307724639e+09
2.050920000000e+07,4.430588649059e+04,0.000000000000e+00,-1.788978805196e+04,1.015056254251e+00,9.714538544795e-01,8.595218805978e-01,9.956981015530e-01,9.960099587492e-01,9.967199986119e-01,-4.436036138897e+03,-4.215125351332e+03,2.598079977892e+03,6.619996916518e+09,2.835684438140e+09,6.265124900956e+09
