# Observation File: southHGUs.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: South Flume Outflow [mol/h]
# Region: South_Flume_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Incised Reach Outflow [mol/h]
# Region: South_Incised_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Typical Reach Outflow [mol/h]
# Region: South_Typ_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Wet Reach Outflow [mol/h]
# Region: South_Wet_out
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Incised Reach Depth to Water [m]
# Region: South_Incised_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Typical Reach Depth to Water [m]
# Region: South_Typ_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Wet Reach Depth to Water [m] 
# Region: South_Wet_surf
# Functional: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Incised Reach Saturation
# Region: South_Incised_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Typical Reach Saturation
# Region: South_Typ_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Wet Reach Saturation
# Region: South_Wet_cell
# Functional: average
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Incised Reach Exfiltration [mol/h]
# Region: South_Incised_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Typical Reach Exfiltration [mol/h]
# Region: South_Typ_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Wet Reach Exfiltration [mol/h]
# Region: South_Wet_surf
# Functional: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Incised Reach Water Content [mol]
# Region: South_Incised_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Typical Reach Water Content [mol]
# Region: South_Typ_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: South Wet Reach Water Content [mol]
# Region: South_Wet_cell
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# =============================================================================
"time [s]","South Flume Outflow [mol/h]","South Incised Reach Outflow [mol/h]","South Typical Reach Outflow [mol/h]","South Wet Reach Outflow [mol/h]","South Incised Reach Depth to Water [m]","South Typical Reach Depth to Water [m]","South Wet Reach Depth to Water [m] ","South Incised Reach Saturation","South Typical Reach Saturation","South Wet Reach Saturation","South Incised Reach Exfiltration [mol/h]","South Typical Reach Exfiltration [mol/h]","South Wet Reach Exfiltration [mol/h]","South Incised Reach Water Content [mol]","South Typical Reach Water Content [mol]","South Wet Reach Water Content [mol]"
2.047680000000e+07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.133164221076e-01,9.821875703558e-01,7.737023786292e-01,9.954212955552e-01,9.953316110049e-01,9.975579378996e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.069962844561e+10,5.159261559848e+09,9.619901451071e+09
2.048040000000e+07,-5.776510556165e+06,9.127412452834e+06,-4.714909454533e+06,-2.766973078292e+06,9.157546065627e-01,9.835088564818e-01,7.748280693507e-01,9.954175550703e-01,9.953277159541e-01,9.975552120301e-01,1.685031314201e+05,7.209210711251e+04,1.876310211726e+05,1.069958183749e+10,5.159239170114e+09,9.619872812616e+09
2.048400000000e+07,-1.206364219046e+06,2.518033698157e+06,-8.656975198999e+05,-3.743936899208e+05,9.161161476215e-01,9.841989093183e-01,7.752055944689e-01,9.954131962920e-01,9.953233050721e-01,9.975524676313e-01,1.761020307027e+05,7.513502551383e+04,1.879060527725e+05,1.069952829097e+10,5.159214203095e+09,9.619844495963e+09
2.048760000000e+07,-4.427532101649e+05,8.771401224367e+05,-3.438146103785e+05,-2.181767144368e+05,9.176123117489e-01,9.847262542509e-01,7.754547275381e-01,9.954089164124e-01,9.953190427915e-01,9.975498935423e-01,1.754165868136e+05,7.431398546400e+04,1.863355083751e+05,1.069947592475e+10,5.159190170486e+09,9.619817944338e+09
2.049120000000e+07,-3.415514119961e+05,5.374495069614e+05,-2.873005965573e+05,-2.080049834471e+05,9.186463264409e-01,9.855083573261e-01,7.761620735128e-01,9.954048320869e-01,9.953149523359e-01,9.975474572723e-01,1.733530613565e+05,7.341953503620e+04,1.850934753129e+05,1.069942597173e+10,5.159167103992e+09,9.619792780157e+09
2.049480000000e+07,-3.281042914829e+05,4.730688755160e+05,-2.804248316989e+05,-2.063439952088e+05,9.200357716616e-01,9.868813797928e-01,7.769450070943e-01,9.954009123946e-01,9.953109870715e-01,9.975451209432e-01,1.716093599041e+05,7.278487962244e+04,1.842027398096e+05,1.069937801237e+10,5.159144731817e+09,9.619768620288e+09
2.049840000000e+07,-3.242388705945e+05,4.565447468025e+05,-2.779681387896e+05,-2.051735539256e+05,9.206121449562e-01,9.873060484068e-01,7.769450070943e-01,9.953971598736e-01,9.953071465045e-01,9.975428847655e-01,1.698489830267e+05,7.216685591789e+04,1.833172830542e+05,1.069933206706e+10,5.159123049293e+09,9.619745467815e+09
2.050200000000e+07,-3.218047869586e+05,4.511450488369e+05,-2.760034679471e+05,-2.038532765519e+05,9.209026942369e-01,9.873060484068e-01,7.772617107534e-01,9.953934136476e-01,9.953032812098e-01,9.975406059260e-01,1.678429779947e+05,7.136697931193e+04,1.820261283432e+05,1.069928615202e+10,5.159101212168e+09,9.619721833480e+09
2.050560000000e+07,-3.047560873348e+05,4.273112463710e+05,-2.600836210884e+05,-1.898130895660e+05,9.239219364286e-01,9.883451534984e-01,7.827736658560e-01,9.953852228726e-01,9.952948375524e-01,9.975340817697e-01,1.482060030685e+05,6.312255335812e+04,1.650707670282e+05,1.069918526367e+10,5.159053240361e+09,9.619653602070e+09
2.050920000000e+07,-2.343171853870e+05,3.320263992464e+05,-1.948147778913e+05,-1.353536320747e+05,9.287392730542e-01,9.920363521897e-01,7.927444505853e-01,9.953576791812e-01,9.952665568127e-01,9.975088409020e-01,6.997072154892e+04,2.962831151207e+04,9.943577791932e+04,1.069884519654e+10,5.158892109820e+09,9.619388820972e+09
